,num_iterations,feature_fraction,learning_rate,max_depth,min_child_weight,min_split_gain,num_leaves,r2,mse,rmse,mae
0,100.0,0.7737,0.0443,10.7859,31.9295,0.0521,76.5098,0.8481,14.4497,3.8013,1.9366
1,300.0,0.8738,0.0428,13.1633,22.3756,0.0794,112.4888,0.8535,13.937,3.7332,1.8017
2,500.0,0.5505,0.0336,11.1567,23.6016,0.0441,117.0283,0.853,13.9885,3.7401,1.8394
3,800.0,0.5123,0.0275,14.2923,22.5871,0.0088,89.2244,0.8524,14.0466,3.7479,1.8573
4,1000.0,0.5961,0.0234,11.0664,18.8842,0.0222,77.6732,0.8513,14.1496,3.7616,1.8587
5,1500.0,0.635,0.0168,14.9115,15.4894,0.0722,66.4412,0.8489,14.3766,3.7916,1.9297
6,2000.0,0.5959,0.0219,14.9682,26.6986,0.0156,45.2324,0.8497,14.3042,3.7821,1.8891
7,3000.0,0.5742,0.0154,14.9185,14.7716,0.0399,51.1713,0.8474,14.5203,3.8105,1.9826
8,4000.0,0.5746,0.0078,11.5114,15.2462,0.0324,51.1223,0.8294,16.2351,4.0293,2.6822
9,5000.0,0.6155,0.0061,14.6074,18.5323,0.0086,62.4166,0.8121,17.8796,4.2284,3.1376
